Time Voltmeter Voltmeter
Run 1, started 02/05/2025 14:50:51
hh:mm:ss mV mV
00:05:05 46.63 772.57
00:05:06 46.63 772.57
00:05:07 46.62 772.42
00:05:08 46.62 772.42
00:05:09 46.6 772.36
00:05:10 46.6 772.36
00:05:11 46.6 772.39
00:05:12 46.6 772.39
00:05:13 46.59 772.45
00:05:14 46.59 772.45
00:05:15 46.57 772.45
00:05:16 46.57 772.45
00:05:17 46.56 772.39
00:05:18 46.56 772.39
00:05:19 46.55 772.37
00:05:20 46.55 772.37
00:05:21 46.54 772.43
00:05:22 46.54 772.43
00:05:23 46.53 772.52
00:05:24 46.53 772.52
00:05:25 46.52 772.44
00:05:26 46.52 772.44
00:05:27 46.51 772.43
00:05:28 46.51 772.43
00:05:29 46.49 772.38
00:05:30 46.49 772.38
00:05:31 46.48 772.27
00:05:32 46.48 772.27
00:05:33 46.47 772.29
00:05:34 46.47 772.29
00:05:35 46.45 772.21
00:05:36 46.45 772.21
00:05:37 46.44 772.16
00:05:38 46.44 772.16
00:05:39 46.43 771.62
00:05:40 46.43 771.62
00:05:41 46.42 771.66
00:05:42 46.42 771.66
00:05:43 46.42 771.51
00:05:44 46.42 771.51
00:05:45 46.41 771.73
00:05:46 46.41 771.73
00:05:47 46.4 771.77
00:05:48 46.4 771.77
00:05:49 46.4 771.55
00:05:50 46.4 771.55
00:05:51 46.39 771.74
00:05:52 46.39 771.74
00:05:53 46.38 771.69
00:05:54 46.38 771.69
00:05:55 46.37 771.7
00:05:56 46.37 771.7
00:05:57 46.36 771.88
00:05:58 46.36 771.88
00:05:59 46.35 771.89
00:06:00 46.35 771.89
00:06:01 46.35 771.52
00:06:02 46.35 771.52
00:06:03 46.34 771.51
00:06:04 46.34 771.51
00:06:05 46.33 771.61
00:06:06 46.33 771.61
00:06:07 46.32 771.65
00:06:08 46.32 771.65
00:06:09 46.31 771.64
00:06:10 46.31 771.64
00:06:11 46.31 771.59
00:06:12 46.31 771.59
00:06:13 46.3 771.48
00:06:14 46.3 771.48
00:06:15 46.3 771.38
00:06:16 46.3 771.38
00:06:17 46.29 771.43
00:06:18 46.29 771.43
00:06:19 46.29 771.43
00:06:20 46.29 771.43
00:06:21 46.27 771.48
00:06:22 46.27 771.48
00:06:23 46.26 771.51
00:06:24 46.26 771.51
00:06:25 46.26 771.44
00:06:26 46.26 771.44
00:06:27 46.25 771.35
00:06:28 46.25 771.35
00:06:29 46.25 771.25
00:06:30 46.25 771.25
00:06:31 46.24 771.25
00:06:32 46.24 771.25
00:06:33 46.24 771.22
00:06:34 46.24 771.22
00:06:35 46.23 771.2
00:06:36 46.23 771.2
00:06:37 46.22 771.13
00:06:38 46.22 771.13
00:06:39 46.22 771.17
00:06:40 46.22 771.17
00:06:41 46.22 771.16
00:06:42 46.22 771.16
00:06:43 46.2 771.25
00:06:44 46.2 771.25
00:06:45 46.19 771.24
00:06:46 46.19 771.24
00:06:47 46.18 771.08
00:06:48 46.18 771.08
00:06:49 46.18 770.92
00:06:50 46.18 770.92
00:06:51 46.17 771.01
00:06:52 46.17 771.01
00:06:53 46.17 771.12
00:06:54 46.17 771.12
00:06:55 46.16 771.07
00:06:56 46.16 771.07
00:06:57 46.16 771.13
00:06:58 46.16 771.13
00:06:59 46.15 771.1
00:07:00 46.15 771.1
00:07:01 46.14 771.04
00:07:02 46.14 771.04
00:07:03 46.14 770.95
00:07:04 46.14 770.95
00:07:05 46.13 770.91
00:07:06 46.13 770.91
00:07:07 46.13 770.95
00:07:08 46.13 770.95
00:07:09 46.13 770.94
00:07:10 46.13 770.94
00:07:11 46.12 770.8
00:07:12 46.12 770.8
00:07:13 46.12 770.84
00:07:14 46.12 770.84
00:07:15 46.11 770.89
00:07:16 46.11 770.89
00:07:17 46.11 770.83
00:07:18 46.11 770.83
00:07:19 46.1 770.84
00:07:20 46.1 770.84
00:07:21 46.09 770.85
00:07:22 46.09 770.85
00:07:23 46.1 770.83
00:07:24 46.1 770.83
00:07:25 46.09 770.76
00:07:26 46.09 770.76
00:07:27 46.09 770.73
00:07:28 46.09 770.73
00:07:29 46.09 770.8
00:07:30 46.09 770.8
00:07:31 46.08 770.87
00:07:32 46.08 770.87
00:07:33 46.07 770.72
00:07:34 46.07 770.72
00:07:35 46.07 770.78
00:07:36 46.07 770.78
00:07:37 46.07 770.69
00:07:38 46.07 770.69
00:07:39 46.06 770.62
00:07:40 46.06 770.62
00:07:41 46.07 770.57
00:07:42 46.07 770.57
00:07:43 46.06 770.59
00:07:44 46.06 770.59
00:07:45 46.06 770.67
00:07:46 46.06 770.67
00:07:47 46.05 770.58
00:07:48 46.05 770.58
00:07:49 46.06 770.58
00:07:50 46.06 770.58
00:07:51 46.04 770.55
00:07:52 46.04 770.55
00:07:53 46.04 770.49
00:07:54 46.04 770.49
00:07:55 46.04 770.63
00:07:56 46.04 770.63
00:07:57 46.03 770.57
00:07:58 46.03 770.57
00:07:59 46.04 770.6
00:08:00 46.04 770.6
00:08:01 46.03 770.37
00:08:02 46.03 770.37
00:08:03 46.03 770.49
00:08:04 46.03 770.49
00:08:05 46.02 770.51
00:08:06 46.02 770.51
00:08:07 46.02 770.54
00:08:08 46.02 770.54
00:08:09 46.02 770.57
00:08:10 46.02 770.57
00:08:11 46.01 770.55
00:08:12 46.01 770.55
00:08:13 46.01 770.48
00:08:14 46.01 770.48
00:08:15 46.01 770.47
00:08:16 46.01 770.47
00:08:17 46.01 770.48
00:08:18 46.01 770.48
00:08:19 46 770.48
00:08:20 46 770.48
00:08:21 46 770.43
00:08:22 46 770.43
00:08:23 46 770.43
00:08:24 46 770.43
00:08:25 46 770.43
00:08:26 46 770.43
00:08:27 46 770.47
00:08:28 46 770.47
00:08:29 46 770.45
00:08:30 46 770.45
00:08:31 46 770.25
00:08:32 46 770.25
00:08:33 46 770.05
00:08:34 46 770.05
00:08:35 46 770.17
00:08:36 46 770.17
00:08:37 45.99 770.22
00:08:38 45.99 770.22
00:08:39 45.99 770.28
00:08:40 45.99 770.28
00:08:41 45.99 770.29
00:08:42 45.99 770.29
00:08:43 46 770.31
00:08:44 46 770.31
00:08:45 46 770.21
00:08:46 46 770.21
00:08:47 45.99 770.15
00:08:48 45.99 770.15
00:08:49 45.99 770.17
00:08:50 45.99 770.17
00:08:51 46 770.16
00:08:52 46 770.16
00:08:53 45.99 770.15
00:08:54 45.99 770.15
00:08:55 45.98 770.13
00:08:56 45.98 770.13
00:08:57 45.99 770.09
00:08:58 45.99 770.09
00:08:59 46 770.11
00:09:00 46 770.11
00:09:01 45.99 770.05
00:09:02 45.99 770.05
00:09:03 45.99 769.99
00:09:04 45.99 769.99
00:09:05 45.98 769.98
00:09:06 45.98 769.98
00:09:07 45.98 769.98
00:09:08 45.98 769.98
00:09:09 45.99 770.08
00:09:10 45.99 770.08
00:09:11 45.99 770.04
00:09:12 45.99 770.04
00:09:13 45.98 769.99
00:09:14 45.98 769.99
00:09:15 45.99 769.91
00:09:16 45.99 769.91
00:09:17 45.98 769.88
00:09:18 45.98 769.88
00:09:19 45.98 769.82
00:09:20 45.98 769.82
00:09:21 45.98 769.68
00:09:22 45.98 769.68
00:09:23 45.97 769.69
00:09:24 45.97 769.69
00:09:25 45.98 769.71
00:09:26 45.98 769.71
00:09:27 45.97 769.72
00:09:28 45.97 769.72
00:09:29 45.97 769.35
00:09:30 45.97 769.35
00:09:31 45.96 769.6
00:09:32 45.96 769.6
00:09:33 45.97 769.67
00:09:34 45.97 769.67
00:09:35 45.97 769.65
00:09:36 45.97 769.65
00:09:37 45.98 769.7
00:09:38 45.98 769.7
00:09:39 45.97 769.55
00:09:40 45.97 769.55
00:09:41 45.97 769.6
00:09:42 45.97 769.6
00:09:43 45.96 769.65
00:09:44 45.96 769.65
00:09:45 45.96 769.65
00:09:46 45.96 769.65
00:09:47 45.96 769.62
00:09:48 45.96 769.62
00:09:49 45.97 769.57
00:09:50 45.97 769.57
00:09:51 45.97 769.65
00:09:52 45.97 769.65
00:09:53 45.96 769.65
00:09:54 45.96 769.65
00:09:55 45.97 769.7
00:09:56 45.97 769.7
00:09:57 45.96 769.59
00:09:58 45.96 769.59
00:09:59 45.96 769.5
00:10:00 45.96 769.5
00:10:01 45.96 769.38
00:10:02 45.96 769.38
00:10:03 45.97 719.5
00:10:04 45.97 719.5
00:10:05 45.98 540.67
00:10:06 45.98 540.67
00:10:07 45.97 472.48
00:10:08 45.97 472.48
00:10:09 45.97 417.59
00:10:10 45.97 417.59
00:10:11 45.96 385.66
00:10:12 45.96 385.66
00:10:13 45.95 504.38
00:10:14 45.95 504.38
00:10:15 45.84 769.23

